customer_id,segment,n_transactions,total_revenue_gbp,avg_order_value_gbp,actual_return_rate,predicted_return_prob,first_order,last_order,stated_order_frequency_12m,active_years,annual_orders,annual_gross_margin_gbp,expected_return_cost_gbp,intervention_spend_gbp,annual_contribution_gbp,clv_gbp,risk_segment,annual_gross_margin_gbp_policy,expected_return_cost_gbp_policy,intervention_spend_gbp_policy,annual_contribution_gbp_policy,clv_gbp_policy,clv_uplift_gbp
1,First_Time,7,876.78,125.2543,0.1429,0.3104,2024-02-09,2025-10-31,1,1.8891,3.7054,139.2365,55.6033,0.0,83.6332,163.2135,Medium_Risk,139.2365,55.6033,0.0,83.6332,163.2135,0.0
2,Wholesale,9,1073.57,119.2856,0.1111,0.0631,2024-04-21,2025-11-19,47,1.692,5.3192,190.3502,15.5339,0.0,174.8163,341.1611,Low_Risk,190.3502,15.5339,0.0,174.8163,341.1611,0.0
3,Repeat,17,1721.68,101.2753,0.1765,0.2579,2024-04-10,2025-12-24,19,1.7221,9.8716,299.9254,101.7004,0.0,198.225,386.844,Medium_Risk,299.9254,101.7004,0.0,198.225,386.844,0.0
4,Repeat,8,640.2,80.025,0.5,0.3042,2024-04-08,2025-11-01,19,1.7276,4.6307,111.1726,45.7881,0.0,65.3845,127.6005,Medium_Risk,111.1726,45.7881,0.0,65.3845,127.6005,0.0
5,First_Time,14,2363.9,168.85,0.3571,0.3311,2024-02-17,2025-12-20,1,1.8672,7.4978,379.8011,157.8589,0.0,221.9422,433.1292,Medium_Risk,379.8011,157.8589,0.0,221.9422,433.1292,0.0
6,First_Time,7,626.36,89.48,0.4286,0.2974,2024-11-14,2025-10-17,1,1.1253,6.2208,166.9912,66.272,0.0,100.7192,196.5576,Medium_Risk,166.9912,66.272,0.0,100.7192,196.5576,0.0
7,First_Time,8,1351.39,168.9237,0.25,0.292,2024-01-25,2025-10-08,1,1.9302,4.1447,210.0405,77.0065,0.0,133.034,259.6212,Medium_Risk,210.0405,77.0065,0.0,133.034,259.6212,0.0
8,Repeat,9,1472.15,163.5722,0.2222,0.2754,2024-04-02,2025-11-29,19,1.744,5.1605,253.2352,87.7667,0.0,165.4685,322.9184,Medium_Risk,253.2352,87.7667,0.0,165.4685,322.9184,0.0
9,Repeat,12,1218.38,101.5317,0.1667,0.2758,2024-03-12,2025-12-13,19,1.8015,6.6611,202.8936,73.5638,0.0,129.3298,252.3923,Medium_Risk,202.8936,73.5638,0.0,129.3298,252.3923,0.0
10,Repeat,8,740.62,92.5775,0.0,0.2887,2024-03-05,2025-09-07,17,1.8207,4.394,122.0352,46.8094,0.0,75.2259,146.8063,Medium_Risk,122.0352,46.8094,0.0,75.2259,146.8063,0.0
11,First_Time,9,1181.36,131.2622,0.4444,0.312,2024-04-07,2025-10-19,1,1.7303,5.2013,204.822,81.8552,0.0,122.9668,239.9747,Medium_Risk,204.822,81.8552,0.0,122.9668,239.9747,0.0
12,Wholesale,12,1092.57,91.0475,0.1667,0.0771,2024-01-23,2025-12-04,48,1.9357,6.1994,169.3329,17.3837,0.0,151.9492,296.535,Low_Risk,169.3329,17.3837,0.0,151.9492,296.535,0.0
13,Repeat,6,496.85,82.8083,0.1667,0.2563,2024-02-06,2025-08-15,16,1.8973,3.1623,78.5604,27.1396,0.0,51.4208,100.3498,Medium_Risk,78.5604,27.1396,0.0,51.4208,100.3498,0.0
14,First_Time,9,805.05,89.45,0.2222,0.3718,2024-01-05,2025-05-23,1,1.9849,4.5341,121.6736,60.3697,0.0,61.3039,119.6371,Medium_Risk,121.6736,60.3697,0.0,61.3039,119.6371,0.0
15,First_Time,11,1630.04,148.1855,0.1818,0.3657,2024-02-27,2025-11-17,1,1.8398,5.9788,265.7911,123.2464,0.0,142.5447,278.1817,Medium_Risk,265.7911,123.2464,0.0,142.5447,278.1817,0.0
16,First_Time,9,730.36,81.1511,0.2222,0.3731,2024-05-08,2025-12-27,1,1.6454,5.4696,133.1601,67.1461,0.0,66.014,128.8289,Medium_Risk,133.1601,67.1461,0.0,66.014,128.8289,0.0
17,First_Time,7,849.08,121.2971,0.5714,0.3928,2024-05-30,2025-11-29,1,1.5852,4.4158,160.6873,81.4504,0.0,79.2369,154.634,Medium_Risk,160.6873,81.4504,0.0,79.2369,154.634,0.0
