,mean_abs_shap,direction,pushes_towards
customer_segment_First_Time,0.362943,1.0,return
product_category_Electronics,0.243474,-1.0,keep
product_category_Fashion,0.238154,1.0,return
customer_segment_Wholesale,0.209522,-1.0,keep
customer_segment_Repeat,0.135385,1.0,return
is_low_click_depth,0.129999,1.0,return
payment_method_PayPal,0.124597,-1.0,keep
payment_method_Credit_Card,0.124337,-1.0,keep
device_type_Desktop,0.068728,-1.0,keep
product_category_Home_Garden,0.06426,-1.0,keep
is_short_dwell,0.055403,1.0,return
payment_method_Cash_on_Delivery,0.042104,1.0,return
device_type_Tablet,0.041551,-1.0,keep
log_order_value,0.023438,1.0,return
product_page_visits,0.021544,1.0,return
visits_per_click,0.020455,-1.0,keep
customer_tenure_days,0.018879,-1.0,keep
order_value_gbp,0.014457,-1.0,keep
dwell_seconds_per_click,0.013369,-1.0,keep
device_type_Mobile,0.012185,1.0,return
click_depth,0.011761,-1.0,keep
value_per_page_visit,0.010223,-1.0,keep
order_frequency_12m,0.008595,-1.0,keep
time_on_page_seconds,0.0021,1.0,return
